00001_CARD_NAME;Power Up;力量提升;
01054_CARD_NAME;Fan of Knives;刀密如扇;
01054_CARD_TEXT;{exhaust} up to 3 cards in your hand.\nAdd that many {refer|1006}<b>s</b> to your hand.;{exhaust}你手牌中最多 3 张牌。\n把同样数量的{refer|1006}<b></b>加入你的手牌。;
02000_CARD_NAME;Strike;打击;
02000_CARD_TEXT;Attack for {dynamic_number|power|7}.;攻击 {dynamic_number|power|7} 点。;
02001_CARD_NAME;Defend;防御;
02001_CARD_TEXT;Gain {block|6}.;获得 {block|6}。;
02004_CARD_NAME;Sucker Punch;垂死挣扎;
02004_CARD_TEXT;Play only if Sorocco is leading. \nAttack the leading enemy for {dynamic_number|power|16}.;只有在索洛科领先时才能打出。\n攻击领军的敌人 {dynamic_number|power|16} 点。;
02005_CARD_NAME;Fire Breath;火焰吐息;
02005_CARD_TEXT;Attack all enemies for {dynamic_number|power|15}.;攻击所有敌人 {dynamic_number|power|15} 点。;
02006_CARD_NAME;Master Swordsman;剑术大师;
02006_CARD_TEXT;{ally}\nBoth heroes gain {power} equal to this ally's {spirit}. ({dynamic_number|life|0});{ally}\n两个英雄都获得相当于此盟友{spirit}的{power}。 （{dynamic_number|life|0}）;
02007_CARD_NAME;Slam;猛砸;
02007_CARD_TEXT;Attack for {dynamic_number|power|24}.\nThis costs {faeria|1} less for each card played this turn.;攻击 {dynamic_number|power|24} 点。\n本回合每打出一张牌，消耗就会减少 {faeria|1}。;
02008_CARD_NAME;Flatten;扁平;
02008_CARD_TEXT;Attack for {dynamic_number|power|25}.;攻击 {dynamic_number|power|25} 点。;
02009_CARD_NAME;Spirit Spice;精神调剂;
02009_CARD_TEXT;Draw 2 cards, then put 2 cards on top of your deck.;抽 2 张牌，然后把 2 张牌放在你的牌组上面。;
02013_CARD_NAME;Flex;柔性;
02013_CARD_TEXT;Whenever a hero attacks this turn, gain {block|3}.;本回合每当英雄攻击时，获得 {block|3}。;
02014_CARD_NAME;Power Down;力量下降;
02014_CARD_TEXT;-{dynamic_number|life|0} {power}.\nDuration 1 turn.;-{dynamic_number|life|0} {power}。\n持续 1 回合。;
02016_CARD_NAME;Ogresurge;食人魔之潮;
02016_CARD_TEXT;Gain {faeria|1} for each card in your hand that costs {faeria|2} or more.;你手牌中每有一张消耗为 {faeria|2} 或更高的牌，就获得 {faeria|1}。;
02018_CARD_NAME;Witstrike;智慧打击;
02018_CARD_TEXT;Draw a card. \nAttack for 4 X your hand size. ({dynamic_number|power|0});抽一张牌。\n进行攻击，攻击力为 4X 你的手牌张数。（{dynamic_number|power|0}）;
02020_CARD_NAME;Masterstroke;大手笔;
02020_CARD_TEXT;Gain {block|5}. \nAdd 2 random cards from your discard pile to your hand.;获得 {block|5}。\n从你的弃牌堆中随机添加 2 张牌到你的手牌中。;
02023_CARD_NAME;Stand Behind me!;站在我身后！;
02023_CARD_TEXT;Gain {block|16}.;获得 {block|16}。;
02024_CARD_NAME;Powersurge;力量激增;
02024_CARD_TEXT;Playable if you have only Sharra cards in hand.\nAttack the leading enemy for {dynamic_number|power|18}.;当你手中只有莎拉牌时才可打出。\n攻击领军的敌人 {dynamic_number|power|18} 点。;
02026_CARD_NAME;High Five;击掌;
02026_CARD_TEXT;{combo}\nGain 1 {courage}.;{combo}\n获得 1 点{courage}。;
02027_CARD_NAME;Crystal Spice;水晶香料;
02027_CARD_TEXT;Add two random Sorocco cards to your hand.\nThey cost {faeria|0} this turn.;将两张随机的索洛科牌加入你的手牌。\n它们在本回合消耗为 {faeria|0}。;
02028_CARD_NAME;Concentrate;全神贯注;
02028_CARD_TEXT;{exhaust} 1 card, gain {faeria|2}.;{exhaust} 1 张牌，获得 {faeria|2}。;
02030_CARD_NAME;Intimidate;威吓;
02030_CARD_RAGE_TEXT;Permanently reduce an enemy's {power} by 5. \n{exhaust};永久减少敌人的{power} 5 点。\n{exhaust};
02030_CARD_TEXT;Permanently reduce an enemy's {power} by 3. \n{exhaust};永久减少敌人的{power} 3 点。\n{exhaust};
02031_CARD_NAME;Impact;冲击;
02031_CARD_TEXT;Attack an enemy for {dynamic_number|power|12} and adjacent enemies for {dynamic_number|power|6}.;攻击一个敌人 {dynamic_number|power|12} 点，并攻击相邻的敌人 {dynamic_number|power|6} 点。;
02035_CARD_NAME;Ogre Soup;食人魔汤;
02035_CARD_TEXT;Give a hero 6 {power}.;给英雄 6 点{power}。;
02036_CARD_NAME;Phantomstrike;幻影打击;
02036_CARD_RAGE_TEXT;Attack for {dynamic_number|power|35}.\n At the end of your turn, if Seifer took damage, add this to your hand. (from deck or discard pile).;攻击 {dynamic_number|power|35} 点。\n在你的回合结束时，如果塞弗受到伤害，则把此牌加入你的手牌。（从牌组或弃牌堆中）。;
02036_CARD_TEXT;Attack for {dynamic_number|power|15}.\n At the end of your turn, if Seifer took damage, add this to your hand. (from deck or discard pile).;攻击 {dynamic_number|power|15} 点。\n在你的回合结束时，如果塞弗受到伤害，则把此牌加入你的手牌。（从牌组或弃牌堆中）。;
02037_CARD_NAME;Guard;警戒;
02037_CARD_TEXT;Gain {block|8}.;获得 {block|8}。;
02038_CARD_NAME;Ogre Cookie;食人魔饼干;
02038_CARD_TEXT;The next card you play this turn costs {faeria|2} less. This effect remains until the end of the battle.;本回合你所打出的下一张牌消耗减少 {faeria|2}。此效果持续到战斗结束。;
02040_CARD_NAME;Wild Swing;狂野摇摆;
02040_CARD_TEXT;Discard your hand. \nAttack for {dynamic_number|power|0}. (6 times the number of cards discarded.);丢弃你的手牌。\n攻击 {dynamic_number|power|0} 点。（6 倍于丢弃的牌数）。;
02042_CARD_NAME;Goki;呱呱;
02042_CARD_TEXT;{ally}\n{activate} - Gain {faeria|2}.;{ally}\n{activate}- 获得 {faeria|2}。;
02043_CARD_NAME;Dig;挖掘;
02043_CARD_TEXT;Gain 25 gold. \n{exhaust};获得 25 金币。\n{exhaust};
02044_CARD_NAME;Clash;冲突;
02044_CARD_TEXT;Attack for {dynamic_number|power|7}.\nGain {block|7}.;攻击 {dynamic_number|power|7} 点。\n获得 {block|7}。;
02045_CARD_NAME;Phalanx;法阵;
02045_CARD_TEXT;Gain {block|7}. \nIf you control an {ally}, gain {block|11} instead.;获得 {block|7}。\n如果你控制一个{ally}，则改为获得 {block|11}。;
02046_CARD_NAME;Hoardshell;囤积之壳;
02046_CARD_TEXT;{melee}\nGain {dynamic_number|block|8} <b>Block</b>.\nWhenever you gain a treasure, permanently increase this block value by 3.;{melee}\n获得 {dynamic_number|block|8} 点<b>格挡</b>。\n每当你获得一件宝物，永久增加这个格挡值 3 点。;
02047_CARD_NAME;Mountain Fist;山之拳;
02047_CARD_TEXT;Gain {block|8}, then attack the leading enemy for damage equal to your <b>Block</b>.;获得 {block|8} ，然后攻击领军的敌人，造成与你的<b>格挡</b>数值相同的伤害。;
02048_CARD_NAME;Mystic Egg;神秘蛋;
02048_CARD_TEXT;{ally}\nAt the start of each turn, gain 1 <b>Spirit</b>.\n{sacrifice} - Draw a card and gain {faeria|1} for each {spirit} this has.;{ally}\n在每个回合开始时，获得 1 点<b>精神力</b>。\n{sacrifice} - 抽一张牌，每有一个{spirit} ，则获得 {faeria|1}。;
02049_CARD_NAME;Spyglass;望远镜;
02049_CARD_TEXT;The next 2 hits on an enemy are {criticalhit}<b>s</b>.;接下来 2 次命中敌人为{criticalhit}<b></b>。;
02300_CARD_NAME;Strike;打击;
02300_CARD_TEXT;Attack for {dynamic_number|power|7}.;攻击 {dynamic_number|power|7} 点。;
02301_CARD_NAME;Rage;愤怒;
02301_CARD_RAGE_TEXT;{heroic}\nAttack for {dynamic_number|power|25}.;{heroic}\n攻击 {dynamic_number|power|25} 点。;
02301_CARD_TEXT;{heroic}\nAttack for {dynamic_number|power|8}. \nGain <b>Rage</b> equal to the damage dealt.;{heroic}\n攻击 {dynamic_number|power|8} 点。\n获得与所造成伤害相等的<b>愤怒</b>。;
02302_CARD_NAME;Flameblast;喷火;
02302_CARD_RAGE_TEXT;Attack for {dynamic_number|power|30}.;攻击 {dynamic_number|power|30} 点。;
02302_CARD_TEXT;Attack for {dynamic_number|power|14}.;攻击 {dynamic_number|power|14} 点。;
02306_CARD_NAME;Ignite;点燃;
02306_CARD_RAGE_TEXT;Attack all enemies for {dynamic_number|power|20}.;攻击所有敌人 {dynamic_number|power|20} 点。;
02306_CARD_TEXT;Gain 10 {rage}.;获得 10 点{rage}。;
02309_CARD_NAME;Spinning Blade;旋转剑刃;
02309_CARD_RAGE_TEXT;Attack all enemies for {dynamic_number|power|4}, four times.;攻击所有敌人 {dynamic_number|power|4} 点，四次。;
02309_CARD_TEXT;Attack all enemies for {dynamic_number|power|4}, twice.;攻击所有敌人 {dynamic_number|power|4} 点。;
02310_CARD_NAME;Frenzy;狂热;
02310_CARD_RAGE_TEXT;{heroic}\nAttack the leading enemy for {dynamic_number|power|8}, five times.;{heroic}\n攻击领军敌人 {dynamic_number|power|8} 点，五次。;
02310_CARD_TEXT;{heroic}\nAttack the leading enemy for {dynamic_number|power|8}, three times.;{heroic}\n攻击领军敌人 {dynamic_number|power|8} 点，三次。;
02313_CARD_NAME;Flamelick;烈焰舔舐;
02313_CARD_RAGE_TEXT;{heroic}\nAttack for {dynamic_number|power|15}. \nDraw 3 cards.;{heroic}\n攻击 {dynamic_number|power|15} 点。\n抽 3 张牌。;
02313_CARD_TEXT;{heroic}\nAttack for {dynamic_number|power|10}. \nDraw a card.;{heroic}\n攻击 {dynamic_number|power|10} 点。\n抽一张牌。;
02314_CARD_NAME;Battle Fury;战斗狂怒;
02314_CARD_RAGE_TEXT;{heroic}\nDraw 2 cards.\nGain {faeria|2}.;{heroic}\n抽 2 张牌。\n获得 {faeria|2}。;
02314_CARD_TEXT;{heroic}\nGain 25 {rage}.;{heroic}\n获得 25 点{rage}。;
02315_CARD_NAME;Swords of the Fallen;阵亡者之剑;
02315_CARD_RAGE_TEXT;Gain {faeria|3}.;获得 {faeria|3}。;
02315_CARD_TEXT;Gain {faeria|1}.;获得 {faeria|1}。;
02317_CARD_NAME;Brute;暴者;
02317_CARD_RAGE_TEXT;{ally}\n{aggressive};{ally}\n{aggressive};
02317_CARD_TEXT;{ally}\n{aggressive};{ally}\n{aggressive};
02319_CARD_NAME;Lavasurge Axolotl;熔岩钝口螈;
02319_CARD_TEXT;{ally}\n{aggressive}\nWhenever this gains {spirit}, gain 5 times as much.;{ally}\n{aggressive}\n每当此牌获得 {spirit}，获得 5 倍。;
02323_CARD_NAME;Fodder;炮灰;
02323_CARD_RAGE_TEXT;{ally}\n{aggressive}\nWhen this is destroyed, it deals damage to all enemies equal to twice this ally's {spirit}. ({dynamic_number|twiceLife|0})\nYou may sacrifice this.;{ally}\n{aggressive}\n当此牌被破坏时，它对所有敌人造成伤害，伤害值等于此盟友{spirit}的两倍。（{dynamic_number|twiceLife|0}）\n你可以牺牲此牌。;
02323_CARD_TEXT;{ally}\n{aggressive}\nWhen this is destroyed, it deals damage to all enemies equal to twice this ally's {spirit}. ({dynamic_number|twiceLife|0})\nYou may sacrifice this.;{ally}\n{aggressive}\n当此牌被破坏时，它对所有敌人造成伤害，伤害值等于此盟友{spirit}的两倍。（{dynamic_number|twiceLife|0}）\n你可以牺牲此牌。;
02327_CARD_NAME;Flame Spitter;吐火者;
02327_CARD_RAGE_TEXT;{ally}\n{aggressive}\nThis attacks all enemies.;{ally}\n{aggressive}\n此牌会攻击所有敌人。;
02327_CARD_TEXT;{ally}\n{aggressive}\nThis attacks all enemies.;{ally}\n{aggressive}\n此牌会攻击所有敌人。;
02329_CARD_NAME;Defend;防御;
02329_CARD_TEXT;Gain {block|6}.;获得 {block|6}。;
02330_CARD_NAME;Rage Bolt;愤怒之箭;
02330_CARD_RAGE_TEXT;Attack for {dynamic_number|power|60}.;攻击 {dynamic_number|power|60} 点。;
02330_CARD_TEXT;Cannot be played without full {rage}.;如果{rage}不满值，就无法打出。;
02331_CARD_NAME;Whipcrack;鞭裂;
02331_CARD_RAGE_TEXT;Give an {ally} 2 {spirit}. If it is aggressive, give it 8 {spirit} instead.\nAttack the leading enemy for {dynamic_number|power|20}.;给予一个{ally} 2 点{spirit}。如果它具有挑衅，则给予它 8 点{spirit}。\n攻击领军的敌人 {dynamic_number|power|20} 点。;
02331_CARD_TEXT;Give an {ally} 1 {spirit}. If it is aggressive, give it 4 {spirit} instead.\nAttack the leading enemy for {dynamic_number|power|12}.;给予一个{ally} 1 点{spirit}。如果它具有挑衅，则给予它 4 点{spirit}。\n攻击领军的敌人 {dynamic_number|power|12} 点。;
02332_CARD_NAME;Chosen One;天选之人;
02332_CARD_RAGE_TEXT;Triple an {ally}<b>'s</b> {spirit}.;将一个{ally}<b>的</b>{spirit}变为三倍。;
02332_CARD_TEXT;Double an {ally}<b>'s</b> {spirit}.\n{exhaust};将一个{ally}<b>的</b>{spirit}变为双倍。\n{exhaust};
02334_CARD_NAME;Meat Shield;肉盾;
02334_CARD_RAGE_TEXT;Gain {block|16}.\nYou may sacrifice an {ally} to gain an additional {block|10}.;获得 {block|16}。\n你可以牺牲一个{ally}来获得额外的 {block|10}。;
02334_CARD_TEXT;Gain {block|8}.\nYou may sacrifice an {ally} to gain an additional {block|10}.;获得 {block|8}。\n你可以牺牲一个{ally}，获得额外的 {block|10}。;
02335_CARD_NAME;Sulfuric Barrier;硫磺屏障;
02335_CARD_RAGE_TEXT;Gain {block|20}.;获得 {block|20}。;
02335_CARD_TEXT;Gain {block|7}.\nGain 7 {rage}.;获得 {block|7}。\n获得 7 点{rage}。;
02338_CARD_NAME;Hex;恶咒;
02338_CARD_RAGE_TEXT;An enemy loses 5 {power} this turn.\nDraw 5 cards.;一名敌人本回合失去 5 点{power}。\n抽 5 张牌。;
02338_CARD_TEXT;An enemy loses 5 {power} this turn.\nDraw a card.;一名敌人本回合失去 5 点{power}。\n抽一张牌。;
02340_CARD_NAME;Entrench;巩固;
02340_CARD_RAGE_TEXT;{melee}\nGain {block|25}.;{melee}\n获得{block|25}。;
02340_CARD_TEXT;{melee}\nGain {block|10}.;{melee}\n获得{block|10}。;
02342_CARD_NAME;Disintegrate;瓦解;
02342_CARD_RAGE_TEXT;Attack for {dynamic_number|power|50}. \nThis starts in your hand at the beginning of the battle.;攻击 {dynamic_number|power|50} 点。\n此牌在战斗开始时就在你的手牌中。;
02342_CARD_TEXT;Attack for {dynamic_number|power|35}. \nDraw this at the start of each battle.;攻击 {dynamic_number|power|35} 点。\n在每次战斗开始时抽此牌。;
02343_CARD_NAME;Cast Devil;召唤魔鬼;
02343_CARD_RAGE_TEXT;{heroic}\nAttack for {dynamic_number|power|20}. Summon two {brute}<b>s</b>.;{heroic}\n攻击 {dynamic_number|power|20} 点。召唤两个{brute}<b></b>。;
02343_CARD_TEXT;{heroic}\nAttack for {dynamic_number|power|15}. \nSummon a {brute}.;{heroic}\n攻击 {dynamic_number|power|15} 点。\n召唤一个{brute}。;
02344_CARD_NAME;Doom;厄运;
02344_CARD_RAGE_TEXT;The next 666 hits on an enemy are {criticalhit}<b>s</b>. \nGain {faeria|2}.\n{exhaust};接下来对敌人的 666 次命中为{criticalhit}<b></b>。\n获得 {faeria|2}。\n{exhaust};
02344_CARD_TEXT;The next 666 hits on an enemy are {criticalhit}<b>s</b>. \n{exhaust};接下来对敌人的 666 次命中为{criticalhit}<b></b>。\n{exhaust};
02345_CARD_NAME;Grim Guard;残酷守卫;
02345_CARD_RAGE_TEXT;{ally}\nWhenever you hit an enemy, gain {blocknumberless} equal to this ally's {spirit}. ({dynamic_number|life|0});{ally}\n每当你命中一个敌人时，获得相当于此盟友{spirit}的{blocknumberless}。（{dynamic_number|life|0}）;
02345_CARD_TEXT;{ally}\nWhenever you hit an enemy, gain {blocknumberless} equal to this ally's {spirit}. ({dynamic_number|life|0});{ally}\n每当你命中一个敌人时，获得相当于此盟友{spirit}的{blocknumberless}。（{dynamic_number|life|0}）;
02346_CARD_NAME;Bullfrog Berserker;牛蛙狂战士;
02346_CARD_TEXT;{ally}\n{aggressive}\nAt the start of each turn, double this ally's {spirit}.;{ally}\n{aggressive}\n在每个回合开始时，此盟友的{spirit}加倍。;
02347_CARD_NAME;Brimstone Needle;硫磺刺针;
02347_CARD_RAGE_TEXT;Attack for {dynamic_number|power|30}.;攻击 {dynamic_number|power|30} 点。;
02347_CARD_TEXT;Seifer loses 5 life. \nAttack for {dynamic_number|power|22}.;塞弗失去 5 点生命值。\n攻击 {dynamic_number|power|22} 点。;
02348_CARD_NAME;Brimstone Spineburst;硫磺爆脊;
02348_CARD_RAGE_TEXT;Attack all enemies for {dynamic_number|power|20}.;攻击所有敌人 {dynamic_number|power|20} 点。;
02348_CARD_TEXT;Seifer loses 5 life.\nAttack all enemies for {dynamic_number|power|10}.;塞弗失去 5 点生命值。\n攻击所有敌人 {dynamic_number|power|10} 点。;
02350_CARD_NAME;Devil Cry;魔鬼之嚎;
02350_CARD_RAGE_TEXT;{retain}\nAttack for {dynamic_number|damage|0}. (damage equal to 3 times the size of your draw pile.)\n{exhaust};{retain}\n攻击 {dynamic_number|power|0} 点。（伤害等于你的抽牌堆牌数的 3 倍。）\n{exhaust};
02350_CARD_TEXT;{retain}\nGain {dynamic_number|deckSize|0} <b>Rage</b>. (Rage equal to the size of your draw pile.)\n{exhaust};{retain}\n获得 {dynamic_number|deckSize|0} 点<b>愤怒</b>。（愤怒等于你的抽牌堆牌数）。\n{exhaust};
02351_CARD_NAME;Hate;憎恨;
02351_CARD_RAGE_TEXT;Stay enraged until the end of your turn.;保持愤怒，直到你的回合结束。;
02351_CARD_TEXT;Gain maximum <b>Rage</b> at the end of your turn.;在你的回合结束时，获得最大值的<b>愤怒</b>。;
02999_CARD_NAME;Defend;防御;
02999_CARD_TEXT;Gain {block|6}.;获得 {block|6}。;
03000_CARD_NAME;Strike;打击;
03000_CARD_TEXT;Attack for {dynamic_number|power|7}.;攻击 {dynamic_number|power|7} 点。;
03001_CARD_NAME;Rain of Fish;鱼雨;
03001_CARD_TEXT;Attack a random enemy for {dynamic_number|power|8} damage, {dynamic_number|count|0} times. \nWhenever you draw this card increase the number of attacks by 1.;攻击一个随机的敌人，造成 {dynamic_number|power|8} 点伤害，{dynamic_number|count|0} 次。 \n每当你抽到这张牌，攻击次数增加 1。;
03002_CARD_NAME;Tea Time;饮茶时间;
03002_CARD_TEXT;If Aurora is full life, gain {faeria|2}.;如果奥罗拉的生命满值，获得 {faeria|2}。;
03003_CARD_NAME;Fist of the Tortoise;乌龟之拳;
03003_CARD_TEXT;Attack for {dynamic_number|power|10}. \nGain {protection}.\n{exhaust};攻击 {dynamic_number|power|10} 点。\n获得 {protection}。\n{exhaust};
03004_CARD_NAME;Trance;恍惚;
03004_CARD_TEXT;Draw until you have 7 cards.;抽牌直到你有 7 张牌。;
03005_CARD_NAME;Equilibrium;平衡;
03005_CARD_TEXT;Attack for damage equal to Aurora's life. ({dynamic_number|power|0})\nGain {blocknumberless} equal to Aurora's missing life. ({dynamic_number|lifeLost|0});进行攻击，伤害值等于奥罗拉的生命值。（{dynamic_number|life|0}）\n获得等于奥罗拉缺少的生命值的{blocknumberless}。（{dynamic_number|lifeLost|0}）;
03009_CARD_NAME;Humbling Vision;慑心愿景;
03009_CARD_TEXT;Halve an enemy's attack intent value.;将敌人的攻击意图值减半。;
03010_CARD_NAME;Fateweave;命运编织;
03010_CARD_TEXT;Draw 2 cards then put a card on top of your deck.;抽 2 张牌，然后把 1 张牌放在你的牌组上面。;
03011_CARD_NAME;Enchant Weapon;附魔武器;
03011_CARD_TEXT;Increase a hero's {power} or an {ally}<b>'s</b> {spirit} by 1.;增加一个英雄的{power}或一个{ally}<b>的</b>{spirit} 1 点。;
03012_CARD_NAME;Stupefy;震惊;
03012_CARD_TEXT;{retain}\nReduce an enemy's {power} by 4 for one turn.\nGain {block|2}.;{retain}\n本回合使敌人的{power}减少 4 点。\n获得 {block|2}。;
03013_CARD_NAME;Guide;向导;
03013_CARD_TEXT;{combo}\n Draw a card.\nThe first time you play this each turn, return it to your hand.;{combo}\n 抽一张牌。\n你每回合第一次打出此牌时，将其放回你的手牌。;
03015_CARD_NAME;Battle Toads;忍者蛙队;
03015_CARD_TEXT;Summon 10 {refer|3016}.;召唤 10 个{refer|3016}。;
03016_CARD_NAME;Frogs;青蛙;
03016_CARD_TEXT;{ally}\n{aggressive}\n{swarm}\nAt the end of each turn, this loses 1 <b>Spirit</b>.;{ally}\n{aggressive}\n{swarm}\n在每个回合结束时，此牌损失 1 点 <b>精神力</b>。;
03018_CARD_NAME;Toadsplosion;青蛙爆发;
03018_CARD_TEXT;Attack for {dynamic_number|power|8}.\nSummon 1 {refer|3016} for each damage dealt.;攻击 {dynamic_number|power|8} 点。\n每造成一点伤害就召唤 1 个{refer|3016}。;
03026_CARD_NAME;Aurora's Trick;奥罗拉的诡计;
03026_CARD_TEXT;{ranged}\nReduce an enemy's {power} by 3 for one turn.;{ranged}\n减少一个敌人的{power} 3 点。持续一回合。;
03027_CARD_NAME;Hubris;傲慢;
03027_CARD_TEXT;{equip}\nLose 1 {power} at the end of each turn.;{equip}\n在每个回合结束时失去 1 点{power}。;
03031_CARD_NAME;Windfall;意外之财;
03031_CARD_TEXT;{ranged}\n Gain {faeria|3}.;{ranged}\n获得 {faeria|3}。;
03032_CARD_NAME;Foresight;先见之明;
03032_CARD_TEXT;Gain {block|14}. \nDraw a card, then put a card from your hand on top of your deck.;获得 {block|14}。\n抽一张牌，然后从你的手牌中放一张牌到你的牌组上面。;
03034_CARD_NAME;Aurora's Dream;奥罗拉的愿望;
03034_CARD_TEXT;Draw until you have 9 cards. \nReduce the cost of cards in your hand to {faeria|0} until the end of your turn.\nWhenever you <b>Dissolve</b> a card, decrease this card's cost by {faeria|3}.\n{exhaust};抽牌直到你有 9 张牌为止。\n将你手牌的消耗减少到 {faeria|0}，直到你的回合结束。\n每当你<b>解除</b>一张牌 ，此牌的消耗减少 {faeria|3}。\n{exhaust};
03035_CARD_NAME;Familiar;熟悉;
03035_CARD_TEXT;Whenever you draw or play this, summon 3 {refer|3016}.;每当你抽到或打出此牌时，召唤 3 个{refer|3016}。;
03036_CARD_NAME;Tidal Force;潮汐之力;
03036_CARD_TEXT;Attack for {dynamic_number|power|15}. \nIf Aurora is full life, this costs {faeria|1} less.;攻击 {dynamic_number|power|15} 点。\n如果奥罗拉的生命值为满值，此牌消耗减少 {faeria|1}。;
03037_CARD_NAME;Quicken;加速;
03037_CARD_TEXT;Increase both heroes' {power} by 2 for their next attacks.\n{swap} your heroes.;使两位英雄下一次攻击的{power}增加 2 点。\n{swap}你的英雄。;
03038_CARD_NAME;Boost Attack;增强攻击;
03038_CARD_TEXT;+{dynamic_number|life|0} {power} for the next attack.;下一次攻击 +{dynamic_number|life|0} 点{power}。;
03039_CARD_NAME;Wall of Mist;迷雾之墙;
03039_CARD_TEXT;Gain {block|6} for each enemy. ({dynamic_number|6enemyNumber|0});每有一个敌人，即获得 {block|6}。（{dynamic_number|6enemyNumber|0}）;
03042_CARD_NAME;Liquify;液化;
03042_CARD_TEXT;{retain}\nAttack for {dynamic_number|power|30}.\nAt the end of each turn, if this is in your hand, reduce its cost by {faeria|1}.;{retain}\n攻击 {dynamic_number|power|30} 点。\n在每个回合结束时，如果此牌在你的手中，将其消耗减少 {faeria|1}。;
03044_CARD_NAME;Seer;先知;
03044_CARD_TEXT;{ally}\n{activate} - Draw 3 cards then put a card from your hand on top of your deck.;{ally}\n{activate} - 抽 3 张牌，然后从你的手牌中拿出一张牌放在你的牌组之上。;
03045_CARD_NAME;Iron Dust;铁粉;
03045_CARD_TEXT;Whenever you draw or play this, gain {block|4}.;每当你抽到或打出此牌时，获得 {block|4}。;
03047_CARD_NAME;Triton Banquet;崔顿盛宴;
03047_CARD_TEXT;Summon 7 {refer|3016}. \nIncrease all other allies' {spirit} by 1.;召唤 7 个{refer|3016}。\n使所有其他盟友的{spirit}增加 1 点。;
03048_CARD_NAME;Aurora's Promise;奥罗拉的承诺;
03048_CARD_TEXT;All of the other hero's cards cost {faeria|1} less this turn.;本回合中其他英雄的所有牌的消耗都减少 {faeria|1}。;
03049_CARD_NAME;Luduan;卢杜安;
03049_CARD_TEXT;{ally}\n{spiritless}\nGain {faeria|1} at the start of each turn.;{ally}\n{spiritless}\n在每个回合开始时获得 {faeria|1}。;
03050_CARD_NAME;Flood;洪水;
03050_CARD_TEXT;{ranged}\nGain {block|3}.\nReduce all enemies {power} by 4 this turn.;{ranged}\n获得 {block|3}。\n本回合所有敌人的{power}减少 4 点。;
03053_CARD_NAME;Tadpals;青蛙伙伴;
03053_CARD_TEXT;Summon 4 {refer|3016}.\nIf you control an {ally} other than {refer|3016}, this costs {faeria|0}.;召唤 4 个{refer|3016}。\n如果你控制的{ally}不是{refer|3016}，这会消耗 {faeria|0}。;
03250_CARD_NAME;Scholar Shard;学者碎片;
03250_CARD_SUFFIX_TEXT;Draw a card.;抽一张牌。;
03250_CARD_TEXT;Draw a card.;抽一张牌。;
03254_CARD_NAME;Mighty Ruby;强大红宝石;
03254_CARD_TEXT;Hero attacks from this card deal +5 damage.;这张牌的攻击造成的伤害 +5。;
03255_CARD_NAME;Snipestone;狙击石;
03255_CARD_PREFIX_TEXT;{retain}\n {ranged};{retain}\n{ranged};
03255_CARD_SUFFIX_TEXT;Each time a hero hits with this card, inflict {criticalhit}.;每次有英雄用这张牌命中时，造成 {criticalhit}。;
03255_CARD_TEXT;Each time a hero hits with this card, inflict {criticalhit}.;每次有英雄用这张牌命中时，造成 {criticalhit}。;
03257_CARD_NAME;Charged Ruby;充能红宝石;
03257_CARD_PREFIX_TEXT;{heroic};{heroic};
03257_CARD_SUFFIX_TEXT;Hero attacks from this card deal +4 damage when played from the back.;当从后方攻击时，英雄通过这张牌的攻击造成的伤害 +4。;
03257_CARD_TEXT;{heroic}\nHero attacks from this card deal +4 damage when played from the back.;{heroic}\n当从后方攻击时，英雄通过这张牌的攻击造成的伤害 +4。;
03258_CARD_NAME;Binding Topaz;绑定黄玉;
03258_CARD_SUFFIX_TEXT;Draw this at the start of each battle.;在每场战斗开始时抽此牌。;
03258_CARD_TEXT;Draw this at the start of each battle.;在每场战斗开始时抽此牌。;
03259_CARD_NAME;Shaytan Moonstone;沙丹月光石;
03259_CARD_SUFFIX_TEXT;{reap} - Gain 4 life.;{reap} - 获得 4 点生命。;
03259_CARD_TEXT;{reap} - Heal 4 life.;{reap} - 治疗 4 点生命值。;
03260_CARD_NAME;Rough Diamond;钻石原石;
03260_CARD_SUFFIX_TEXT;Gain {block|4}.;获得 {block|4}。;
03260_CARD_TEXT;Gain {block|4}.;获得 {block|4}。;
03263_CARD_NAME;Gem of Gravity;重力宝石;
03263_CARD_TEXT;Hero attacks from this card deal double damage.;英雄通过这张牌的攻击会造成双倍伤害。;
03264_CARD_NAME;Crystallized Faeria;水晶仙灵;
03264_CARD_SUFFIX_TEXT;Whenever you draw this, reduce its cost by {faeria|1}.;每当你抽到这张牌时，将其消耗减少 {faeria|1}。;
03264_CARD_TEXT;Whenever you draw this, reduce its cost by {faeria|1}.;每当你抽到这张牌时，将其消耗减少 {faeria|1}。;
03265_CARD_NAME;Perfect Diamond;完美钻石;
03265_CARD_SUFFIX_TEXT;Gain {block|7}.;获得 {block|7}。;
03265_CARD_TEXT;Gain {block|7}.;获得 {block|7}。;
03271_CARD_NAME;Gem of the Scholar;学者宝石;
03271_CARD_SUFFIX_TEXT;Draw 3 cards.;抽 3 张牌。;
03271_CARD_TEXT;Draw 3 cards.;抽 3 张牌。;
03273_CARD_NAME;Void Stone;虚空之石;
03273_CARD_TEXT;This costs {faeria|0}.;此牌消耗 {faeria|0}。;
03274_CARD_NAME;Warden's Diamond;典狱长钻石;
